tag,plate,totalowed
vanity,FEK1978,65556.9699999999
vanity,72VOLT,39154.310000000005
vanity,MPI888,38023.23000000007
vanity,GHKOO,34909.789999999986
vanity,ZSS2,27185.84000000002
vanity,ZSS,27185.84000000002
vanity,FEK1975,21913.61
vanity,AZG739O,20707.95
vanity,KAMARAM,19341.769999999997
vanity,CHIEFMO,19341.769999999997
vanity,ABC,17069.79
vanity,FDXROCK,16080
vanity,GOFDX,16080
vanity,GOFEDEX,16015
vanity,NS,15479.8
vanity,SODASRV3,15080
vanity,QUALITY,14484.03
vanity,NJMGCNY,13394.150000000001
vanity,NYC2MIA,13094.240000000002
vanity,PONIXPRS,12920
vanity,CNTENIAL,12920
vanity,CAMELIAN,12293.96
vanity,XCASHX,11250.140000000001
vanity,RIDE132,10962.190000000002
vanity,RIDE402,10962.190000000002
vanity,RIDE631,10962.190000000002
vanity,PET007,10138.910000000007
vanity,PET900,10138.910000000007
vanity,G550,9306.1
vanity,CVS550,9043.180000000004
vanity,MYRIAHV,8926.029999999999
vanity,KAYLE,8926.029999999999
vanity,A81R,8473.83
vanity,DREAMLND,8250.4
vanity,ALADDIN,8110
vanity,KIOSCITY,8027.099999999999
vanity,ZLG5976,7911.29
vanity,BKK1268,7900.359999999998
vanity,URSLO,7822.66
vanity,ALWSCRYN,7609.099999999999
vanity,JOTRIP,7603.36
vanity,2RIP,7345.779999999999
vanity,TRINIXP,7114.3899999999985
vanity,RAHMA04,7074.83
vanity,RAHMA06,7074.83
vanity,RAHMA05,7074.83
vanity,RAHMA07,7074.83
vanity,RAHMA01,7074.83
vanity,CLIMBNHI,7071.35
vanity,WHISK,7020.720000000002
vanity,K187,7005.540000000001
vanity,GIVETHX,6951.449999999999
vanity,GIVETHX,6951.449999999999
vanity,FCT6933,6922.03
vanity,KINGLV,6897.39
vanity,EURO27,6855.029999999999
vanity,EURO007,6855.029999999999
vanity,EURO023,6855.029999999999
vanity,EURO10,6855.029999999999
vanity,EURO36,6855.029999999999
vanity,MILLWORK,6805.63
vanity,VANECIA,6627.630000000001
vanity,MF5,6610.81
vanity,MF7,6610.81
vanity,PACIFIC1,6543.110000000001
vanity,DRSTEIN,6481.780000000001
vanity,AUTOTAP9,6440
vanity,AUTOTAP,6440
vanity,EZH1811,6275.28
vanity,EZH1811,6275.28
vanity,45GY23,6254.12
vanity,MEKAWY2,6248.460000000001
vanity,MAS12,6186.7300000000005
vanity,MRVESP,6035.799999999999
vanity,EGC311,6026.67
vanity,EGC700,6026.67
vanity,EGC223,6026.67
vanity,OMWTSYG,6003.810000000001
vanity,EZWIDR,5988.359999999999
vanity,BRUNEL2,5987.32
vanity,LINDA125,5959.08
vanity,TRIPSET,5759.07
vanity,5URF3R,5748.71
vanity,MAMBO1,5719.289999999999
vanity,HESALOP,5555.3
vanity,FLYCBR,5553.1900000000005
vanity,BUBACAT,5496.75
vanity,BA34LIFE,5485.200000000002
vanity,MYTYLER,5482.11
vanity,IAMANDA,5481.399999999999
vanity,AMANDA21,5481.399999999999
vanity,DANDYII,5181.38
vanity,CHOPPA,5135
vanity,LOTUS,5115
vanity,VIJAYPAL,4965.37
vanity,BENRLSON,4785.02
vanity,FAAMS,4785.02
vanity,BAUS,4668.18
vanity,BB1IRON,4595
vanity,ROCKDDS,4502.6500000000015
vanity,PLAT1NUM,4487.65
vanity,DR230L,4400.550000000001
vanity,EZKOSHER,4376.49
vanity,PDG21,4370.199999999999
vanity,DIDIT2EM,4345.2699999999995
vanity,PSLEDGE,4331.620000000001
vanity,MZTOYTOY,4263.63
vanity,T261188,4250.619999999999
vanity,EWXB999,4236.110000000001
vanity,SHRIMPYS,4161.1900000000005
vanity,SAN3AA,4146.65
vanity,MRDENHAM,4135.84
vanity,3GYPT,4133.12
vanity,QFIOI,4132.59
vanity,TODAY16A,4101.330000000001
vanity,CLEANUP,4041.1499999999996
vanity,CLEANUP,4041.1499999999996
vanity,SCE4,4033.99
vanity,SCE8,4033.99
vanity,SCE9,4033.99
vanity,LUVLYA,3962.56
vanity,USG5,3935.08
vanity,AMERI3,3922.59
vanity,AWN7503,3922.14
vanity,54SS1965,3881.31
vanity,WRLIMO7,3876.3799999999997
vanity,UDEW,3819.2599999999993
vanity,GLASWRKS,3788.35
vanity,GLASWERK,3788.35
vanity,JJMAN,3751.379999999999
vanity,MLK89,3745.519999999999
vanity,GLAMINC,3740.74
vanity,LUVBOUVS,3697.53
vanity,PITA2GO,3687.7
vanity,MULTANI,3653.59
vanity,DISTRBED,3645.1400000000003
vanity,STANDARD,3615
vanity,JDURAN3,3612.120000000001
vanity,CBA0314,3595
vanity,RGII,3590.19
vanity,LUVAL,3577.98
vanity,FASTF1VE,3551.58
vanity,ZOMBIEM,3546.11
vanity,MELICAM,3539.07
vanity,DTRUMP,3538.6900000000005
vanity,1LIZBETH,3536.3700000000003
vanity,GALINDO2,3482.08
vanity,TELIA,3464.33
vanity,MADINA1,3455
vanity,MCE04,3450
vanity,ROAD41,3429.76
vanity,F335I,3416.84
vanity,BENZS,3405
vanity,HEBLESSD,3350.909999999999
vanity,A1111,3306.38
vanity,XDONE,3305.31
vanity,85GX66,3291.3199999999997
vanity,MRSSNOOP,3281.51
vanity,MAIBOYS,3275.96
vanity,GOPRO1,3270
vanity,GRDNWRKS,3269.7099999999996
vanity,SVDMAILF,3250.31
vanity,SURIEL2,3234.859999999999
vanity,SURIEL3,3234.859999999999
vanity,H2PEST,3229.39
vanity,FETTI,3179.88
vanity,XSALTX,3177.8599999999997
vanity,BLKQU33N,3176.8600000000006
vanity,ADNOLUY,3159.8299999999995
vanity,KFM4EVER,3146.3900000000003
vanity,HBK,3144.3899999999994
vanity,ESCORCHE,3144.3
vanity,MRSINGH,3128.18
vanity,ONI711,3107.4800000000005
vanity,IMLIMU,3094.269999999999
