plate,totalowed
T753230C,18465
9G48B,13826.070000000002
8G66B,13826.070000000002
T792067C,13252.9
T778658C,13252.9
T786421C,13252.9
3M86C,12928.179999999998
3M87H,12928.179999999998
3M85H,12928.179999999998
T780223C,11210
7H91A,10638.279999999999
7H90C,10638.279999999999
T716684C,10462.630000000001
T663849C,10204.51
T784739C,10154.11
T784737C,10154.11
T795138C,10154.11
T784733C,10154.11
T807599C,10154.11
T784734C,10154.11
JA8805,10044.39
2J55A,9651.060000000001
2J54A,9651.060000000001
T794824C,9535.369999999999
9N13H,9052.039999999999
9N12H,9052.039999999999
T795320C,8956.99
1Y86B,8628.180000000004
1Y85H,8628.180000000004
T525663C,8619.980000000003
T761880C,8379.51
T714458C,8185.3
T723227C,8185.3
T704211C,8185.3
T102285C,8185.3
T751598C,8175
T799274C,7980
T773738C,7980
T101334C,7980
T799447C,7980
T765914C,7980
T756988C,7980
T101246C,7980
T766466C,7980
T793678C,7980
T752678C,7980
T799446C,7980
T793440C,7980
T791959C,7911.54
T494224C,7911.54
T494093C,7911.54
T526526C,7911.54
T793989C,7911.54
T606532C,7911.54
T489244C,7911.54
T471094C,7911.54
T791974C,7911.54
T477318C,7911.54
T477380C,7911.54
T506791C,7911.54
T799525C,7911.54
T103705C,7911.54
T101575C,7895
T747426C,7895
T747435C,7895
T747434C,7895
T747093C,7895
T746970C,7895
T747448C,7895
T796605C,7895
T767399C,7895
T720880C,7895
T786576C,7895
WESTJNS,7895
T737433C,7895
T747437C,7895
T737494C,7895
T720751C,7895
T747449C,7895
T727029C,7895
5M45C,7695.859999999998
5M44D,7695.859999999998
T453275C,7630
T102650C,7630
T519021C,7630
T631022C,7630
T671293C,7630
T735164C,7630
T453331C,7630
T636296C,7630
T768893C,7630
T671190C,7630
T768699C,7630
T636207C,7630
T671191C,7630
T503069C,7630
T631093C,7630
T482880C,7630
T523127C,7630
T515371C,7630
T663846C,7630
T634434C,7630
T529503C,7630
T785079C,7630
T647542C,7630
T640201C,7630
T636211C,7630
T806662C,7630
2L71H,7618.810000000002
2L72B,7618.810000000002
T714451C,7458.5
1H12H,7177.8600000000015
8N64C,7177.8600000000015
1H12J,7177.8600000000015
T101500C,7065.99
T722818C,7006.4
T784834C,7005.67
T808094C,7005.67
T731247C,7005.67
